,City,Country ID,Temperature,Latitude,Longitude,Humidity,Cloudiness,Wind Speed (mph)
49,Azangaro,PE,55.4,-14.91,-70.2,58,75,3.36
50,Babu,CN,47.33,23.23,104.89,97,92,2.95
51,Baghdad,IQ,62.6,33.3,44.38,36,56,4.7
52,Bakel,SN,82.3,14.9,-12.46,20,56,11.79
53,Ballina,IE,41,54.11,-9.15,100,90,13.87
54,Bambous Virieux,MU,77.71,-20.34,57.76,98,32,2.73
55,Banda Aceh,ID,74.47,5.56,95.32,97,8,4.41
56,Bandarbeyla,SO,74.11,9.49,50.81,100,92,13.24
57,Bara,NG,87.16,10.41,10.6,45,0,0.94
58,Barranca,PE,70.42,-10.75,-77.76,93,8,10.33
59,Barreirinhas,BR,86.93,-2.75,-42.83,66,44,11.34
60,Barrow,AR,76.4,-38.31,-60.23,28,0,17.94
61,Basoko,CD,75.73,1.23,23.61,92,44,2.95
62,Batagay,RU,-36.1,67.65,134.64,0,44,3.18
63,Batagay-Alyta,RU,-20.53,67.8,130.41,27,48,2.84
64,Bathsheba,BB,82.4,13.22,-59.52,74,75,28.86
65,Bathurst,AU,68.61,-33.42,149.58,61,36,5.17
66,Baybay,PH,74.6,10.68,124.8,98,92,1.83
67,Baykalsk,RU,3.73,51.52,104.15,86,68,4.41
68,Belaya Gora,RU,-5.55,68.54,146.19,70,76,8.21
69,Belle Fourche,US,3.94,44.67,-103.85,65,0,3.4
70,Belmonte,PT,42.92,40.36,-7.35,66,0,6.64
71,Beringovskiy,RU,28.12,63.05,179.32,99,80,5.75
72,Berlevag,NO,25.87,70.86,29.09,100,48,17.38
73,Besskorbnaya,RU,30.95,44.65,41.31,84,0,4.41
74,Bethel,US,37.4,60.79,-161.76,69,90,9.17
75,Beyla,GN,89.27,8.69,-8.65,20,0,4.97
76,Bharatpur,NP,45.53,27.68,84.43,82,64,2.62
77,Biala Podlaska,PL,24.7,52.03,23.12,82,76,4.63
78,Bilibino,RU,1.07,68.06,166.44,68,92,2.73
79,Bilma,NE,75.28,18.69,12.92,24,0,2.39
80,Birao,CF,82.79,10.3,22.78,28,0,5.19
81,Bireun,ID,79.55,5.2,96.7,100,0,5.97
82,Biskamzha,RU,-6.58,53.45,89.53,54,12,2.17
83,Blairmore,CA,-1.32,49.61,-114.44,65,75,10.29
84,Bloemfontein,ZA,68,-29.12,26.22,82,75,10.29
85,Bluff,AU,64.34,-23.58,149.07,80,0,2.84
86,Boca do Acre,BR,90.4,-8.76,-67.39,62,68,2.95
87,Boddam,GB,41,57.47,-1.78,75,32,5.82
88,Boende,CD,78.88,-0.28,20.88,82,0,3.18
89,Bogale,MM,72.13,16.29,95.4,91,0,6.98
90,Bolobo,CD,83.02,-2.17,16.23,75,20,2.39
91,Bonavista,CA,30.28,48.65,-53.11,91,12,26.33
92,Bonfim,BR,84.28,-20.33,-44.24,63,48,5.3
93,Bontang,ID,76.9,0.12,117.47,100,76,0.38
94,Bose,IT,34.52,45.46,8.01,90,0,6.93
95,Botwood,CA,26.6,49.14,-55.34,73,75,19.46
96,Bousse,FR,33.35,49.28,6.2,86,75,10.29
97,Brae,GB,37.67,60.4,-1.35,100,88,9.17
98,Bredasdorp,ZA,68,-34.53,20.04,40,48,17.22
99,Brewster,US,50.2,41.76,-70.08,81,75,8.05
100,Broome,GB,43.54,52.47,1.45,100,90,17.22
101,Brownsville,US,70.23,25.91,-97.49,78,20,12.75
102,Bubaque,GW,91.4,11.28,-15.83,17,76,11.41
103,Buchanan,LR,86,5.88,-10.05,66,75,9.17
104,Bucharest,RO,39.2,44.44,26.1,93,90,11.41
105,Bull Savanna,JM,79.6,17.89,-77.59,63,68,10.22
106,Busselton,AU,63.76,-33.64,115.35,100,0,20.96
107,Butaritari,KI,81.89,3.07,172.79,100,88,13.24
108,Byron Bay,AU,71.6,-28.65,153.62,83,0,6.93
109,Cabedelo,BR,86,-6.97,-34.84,66,20,16.11
110,Cabo San Lucas,MX,75.36,22.89,-109.91,91,0,6.85
111,Campoverde,IT,49.46,41.54,12.73,57,0,12.75
112,Cape Town,ZA,68,-33.93,18.42,49,20,18.34
113,Caravelas,BR,79.78,-17.73,-39.27,100,20,8.32
114,Carnarvon,ZA,74.69,-30.97,22.13,20,88,6.31
115,Castro,CL,57.37,-42.48,-73.76,76,92,4.29
116,Catanzaro,IT,41.47,38.91,16.6,53,75,13.87
117,Cayenne,GF,84.2,4.94,-52.33,70,75,13.87
118,Celestun,MX,77.3,20.87,-90.4,92,64,4.97
119,Chabahar,IR,70.33,25.29,60.65,97,0,9.22
120,Chalmette,US,73.4,29.94,-89.96,73,40,16.11
121,Chama,ZM,65.83,-11.22,33.16,97,92,7.65
122,Chaman,AF,28.79,30.92,66.46,81,48,2.62
123,Champerico,MX,78.8,16.38,-93.6,57,20,3.36
124,Chapais,CA,8.6,49.78,-74.86,65,20,11.41
125,Charters Towers,AU,63.22,-20.07,146.27,90,0,2.84
126,Chernyshevskiy,RU,-10.86,63.01,112.47,71,44,5.41
127,Cherskiy,RU,-0.06,68.75,161.3,75,68,6.64
128,Chibuto,MZ,83.38,-24.69,33.53,60,24,12.57
129,Chicama,PE,73.4,-7.84,-79.15,78,0,11.41
130,Chimbote,PE,73.97,-9.08,-78.59,78,12,5.41
131,Chipinge,ZW,71.95,-20.19,32.62,86,64,2.73
132,Chokurdakh,RU,-2.85,70.62,147.9,74,88,11.9
133,Chunhuhub,MX,85,19.59,-88.59,59,48,5.64
134,Chuy,UY,76.04,-33.69,-53.46,78,36,14.81
135,Cidreira,BR,80.63,-30.17,-50.22,96,32,7.87
136,Ciudad Bolivar,VE,90.13,8.12,-63.55,46,0,13.35
137,Clarksburg,US,52.52,39.28,-80.34,66,90,3.36
138,Clifton,AU,71.6,-27.93,151.91,78,0,9.17
139,Clyde River,CA,-20.21,70.47,-68.59,75,75,20.8
140,Coahuayana,MX,77.75,18.62,-100.35,47,44,3.06
141,Cobija,BR,87.8,-11.02,-68.77,70,75,5.82
142,Cockburn Town,TC,78.16,21.46,-71.14,97,68,26.11
143,Codrington,AU,63.17,-28.95,153.24,95,0,2.51
144,Coihaique,CL,55.4,-45.58,-72.07,46,40,5.82
145,College,US,-24.38,64.86,-147.8,74,1,2.95
146,Comodoro Rivadavia,AR,59,-45.87,-67.48,44,40,8.05
